股票代码,????????,交易日期,????????,????????,????????,开盘价,最高价,最低价,收盘价,????????,????????,涨跌幅,??????,??????,??????,????????,??????,????????,????????,??????TTM,??????TTM,??????TTM,??????,MA_5,MA_10,MA_20,MA_30,MA_60,MA????????,MACD_DIF,MACD_DEA,MACD_MACD,MACD_????????,KDJ_K,KDJ_D,KDJ_J,KDJ_????????,??????????,??????????,??????????,psy,psyma,rsi1,rsi2,rsi3,????,????
sh600000,????????,12/30/2016,????????,??????????????????????????????????????????????????????????????????,????,16.07,16.23,16.04,16.21,159.472066,16.21,0.008712,12262167,197653917,0.000598,3.3261E+11,3.50432E+11,0,0,6.228543,2.102518,-4.646527,1.062254,16.152,16.226,16.6765,16.788,16.605667,1????5????????????,-0.202783,-0.126716,-0.152134,,20.503297,15.452003,30.605887,????,16.721,17.774627,15.667373,25,31.944444,38.512319,36.42062,41.644747,0.011823,0.962444
sh600000,????????,12/29/2016,????????,??????????????????????????????????????????????????????????????????,????,16.09,16.15,15.99,16.07,158.094762,16.07,-0.001243,11851308,190400022,0.000578,3.29737E+11,3.47406E+11,0,0,6.174749,2.084359,-4.606397,1.05308,16.148,16.271,16.721,16.801,16.610333,,-0.205161,-0.107699,-0.194925,,11.4567,12.926355,8.517391,,16.775,17.803637,15.746363,25,34.722222,18.911172,28.505824,37.991436,0.009944,0.946151
sh600000,????????,12/28/2016,????????,??????????????????????????????????????????????????????????????????,????,16.14,16.19,16.03,16.09,158.29152,16.09,-0.003098,14441526,232406679,0.000704,3.30148E+11,3.47838E+11,0,0,6.182434,2.086953,-4.61213,1.054391,16.172,16.334,16.775,16.818667,16.6175,,-0.190959,-0.083333,-0.215251,,11.551248,13.661183,7.331378,,16.8285,17.831278,15.825722,25,37.5,19.657165,28.978222,38.319871,0.009913,1.159461
sh600000,????????,12/27/2016,????????,??????????????????????????????????????????????????????????????????,????,16.25,16.32,16.13,16.14,158.783414,16.14,-0.006769,10665824,172900199,0.00052,3.31174E+11,3.48919E+11,0,0,6.201646,2.093438,-4.626462,1.057667,16.218,16.443,16.8285,16.835667,16.624,1????5????????????20????30????????????,-0.17209,-0.056427,-0.231326,,12.448823,14.71615,7.914169,,16.8845,17.876144,15.892856,33.333333,40.277778,21.417274,30.122188,39.130335,0.011692,0.881849
sh600000,????????,12/26/2016,????????,??????????????????????????????????????????????????????????????????,????,16.13,16.28,16.01,16.25,159.865581,16.25,0.003706,14482456,233999583,0.000706,3.33431E+11,3.51297E+11,0,0,6.243912,2.107706,-4.657993,1.064875,16.246,16.546,16.8845,16.850667,16.629667,1????5????????????10????60????????????,-0.150594,-0.027511,-0.246165,,12.869663,15.849814,6.909362,,16.9325,17.919901,15.945099,41.666667,41.666667,25.623568,32.727685,40.95664,0.016677,1.00108
sh600000,????????,12/23/2016,????????,??????????????????????????????????????????????????????????????????,????,16.17,16.22,16.07,16.19,159.275308,16.19,0,11187906,180365980,0.000545,3.322E+11,3.5E+11,0,0,6.220858,2.099923,-4.640794,1.060944,16.3,16.67,16.9325,16.862333,16.6335,,-0.132167,0.00326,-0.270852,,10.793856,17.339889,-2.298209,,16.9775,17.936849,16.018151,41.666667,41.666667,18.333036,29.68672,39.480142,0.009265,0.843286
sh600000,????????,12/22/2016,????????,??????????????????????????????????????????????????????????????????,????,16.32,16.33,16.14,16.19,159.275308,16.19,-0.007966,11499190,186428629,0.00056,3.322E+11,3.5E+11,0,0,6.220858,2.099923,-4.640794,1.060944,16.394,16.785,16.9775,16.875667,16.638333,,-0.100615,0.037116,-0.275463,,11.811223,20.612906,-5.792144,,17.0125,17.919875,16.105125,41.666667,41.666667,18.333036,29.68672,39.480142,0.011642,0.825158
sh600000,????????,12/21/2016,????????,??????????????????????????????????????????????????????????????????,????,16.26,16.37,16.25,16.32,160.554233,16.32,0.002457,12638809,206022869,0.000616,3.34867E+11,3.5281E+11,0,0,6.270809,2.116785,-4.678058,1.069463,16.496,16.88,17.0125,16.888333,16.644,5????60????????????10????30????????????,-0.058881,0.071549,-0.26086,,15.303041,25.013747,-4.118372,,17.043,17.918545,16.167455,41.666667,43.055556,21.504698,32.348981,41.547582,0.007371,0.710132
sh600000,????????,12/20/2016,????????,??????????????????????????????????????????????????????????????????,????,16.52,16.56,16.12,16.28,160.160718,16.28,-0.014528,22525817,366213562,0.001098,3.34046E+11,3.51946E+11,0,0,6.255439,2.111597,-4.666592,1.066841,16.668,16.955,17.043,16.893,16.646167,,-0.017993,0.104157,-0.244299,,16.058009,29.869101,-11.564173,,17.063,17.87546,16.25054,41.666667,44.444444,17.861045,30.593415,40.630838,0.026634,1.1955
sh600000,????????,12/19/2016,????????,??????????????????????????????????????????????????????????????????,????,16.65,16.7,16.51,16.52,162.521809,16.52,-0.008403,8483493,140430889,0.000413,3.38971E+11,3.57134E+11,0,0,6.347657,2.142726,-4.735387,1.082569,16.846,17.049,17.063,16.899333,16.649167,1????60????????????5????30????????????10????20????????????,0.03853,0.134694,-0.192328,,18.569773,36.774646,-17.839975,,17.069,17.84926,16.28874,41.666667,47.222222,23.259406,35.686891,44.65814,0.011405,0.485949
