股票代码,????????,交易日期,????????,????????,????????,开盘价,最高价,最低价,收盘价,????????,????????,涨跌幅,??????,??????,??????,????????,??????,????????,????????,??????TTM,??????TTM,??????TTM,??????,MA_5,MA_10,MA_20,MA_30,MA_60,MA????????,MACD_DIF,MACD_DEA,MACD_MACD,MACD_????????,KDJ_K,KDJ_D,KDJ_J,KDJ_????????,??????????,??????????,??????????,psy,psyma,rsi1,rsi2,rsi3,????,????
sh600000,????????,4/28/2017,????????,??????????????????????????????????????????????????????????????????,????,15.15,15.22,15.08,15.21,149.634184,15.21,0,15718509,238419161,0.000727,3.28814E+11,3.28814E+11,0,0,6.293446,1.972813,-1.1692,0.93908,15.104,15.145,15.532,15.693667,16.141667,,-0.282493,-0.271086,-0.022814,,36.058964,24.960895,58.255101,,15.565,16.468868,14.661132,33.333333,25,45.602317,36.625449,36.140035,0.009204,0.933961
sh600000,????????,4/27/2017,????????,??????????????????????????????????????????????????????????????????,????,15.05,15.25,15.03,15.21,149.634184,15.21,0.010631,22887645,345791526,0.001059,3.28814E+11,3.28814E+11,0,0,6.293446,1.972813,-1.1692,0.93908,15.072,15.175,15.565,15.728,16.166333,1????10????????????,-0.298752,-0.268234,-0.061037,,27.222774,19.411861,42.8446,,15.605,16.499167,14.710833,33.333333,22.222222,45.602317,36.625449,36.140035,0.014618,1.255912
sh600000,????????,4/26/2017,????????,??????????????????????????????????????????????????????????????????,????,15.06,15.11,15,15.05,148.060123,15.05,0,14939871,225022668,0.000691,3.25355E+11,3.25355E+11,0,0,6.127351,1.95206,-1.694591,0.962498,15.012,15.229,15.605,15.763,16.191,,-0.31516,-0.260604,-0.109112,,16.834161,15.506404,19.489675,????,15.6545,16.517988,14.791012,25,20.833333,27.857318,27.723718,31.611577,0.007309,0.683476
sh600000,????????,4/25/2017,????????,??????????????????????????????????????????????????????????????????,????,15.02,15.1,14.99,15.05,148.060123,15.05,0.003333,12975919,195296862,0.0006,3.25355E+11,3.25355E+11,0,0,6.127351,1.95206,-1.694591,0.962498,15.024,15.313,15.6545,15.806,16.216333,1????5????????????,-0.315227,-0.246965,-0.136524,,14.498553,14.842526,13.810608,,15.7,16.531234,14.868766,25,20.833333,27.857318,27.723718,31.611577,0.007333,0.546084
sh600000,????????,4/24/2017,????????,??????????????????????????????????????????????????????????????????,????,15.05,15.11,14.91,15,147.568229,15,-0.003322,17627803,264649933,0.000815,3.24274E+11,3.24274E+11,0,0,6.106995,1.945574,-1.688961,0.9593,15.074,15.397,15.7,15.845333,16.242167,,-0.310728,-0.2299,-0.161656,,12.132445,15.014512,6.368311,,15.744,16.536716,14.951284,16.666667,20.833333,22.36112,24.955825,30.190828,0.013289,0.684719
sh600000,????????,4/21/2017,????????,??????????????????????????????????????????????????????????????????,????,14.92,15.07,14.85,15.05,148.060123,15.05,0.00939,22688358,340453104,0.001049,3.25355E+11,3.25355E+11,0,0,6.127351,1.95206,-1.694591,0.962498,15.186,15.494,15.744,15.886,16.267833,,-0.295374,-0.209693,-0.171363,,11.441911,16.455545,1.414642,,15.7805,16.551945,15.009055,16.666667,20.833333,23.877014,25.863764,30.80411,0.014755,0.767356
sh600000,????????,4/20/2017,????????,??????????????????????????????????????????????????????????????????,????,15.12,15.14,14.9,14.91,146.682819,14.91,-0.013236,41061406,614436383,0.001899,3.22329E+11,3.22329E+11,0,0,6.070353,1.933901,-1.678827,0.953544,15.278,15.599,15.7805,15.930667,16.291667,,-0.276572,-0.188272,-0.1766,,8.390936,18.962362,-12.751916,,15.835,16.523472,15.146528,16.666667,22.222222,9.573303,18.227875,26.814945,0.015884,1.242006
sh600000,????????,4/19/2017,????????,??????????????????????????????????????????????????????????????????,????,15.25,15.27,15.11,15.11,148.650396,15.11,-0.012418,24455407,371021507,0.001131,3.26652E+11,3.26652E+11,0,0,6.151779,1.959842,-1.701347,0.966335,15.446,15.718,15.835,15.981333,16.3165,,-0.234297,-0.166197,-0.136198,,12.176569,24.248076,-11.966445,,15.8865,16.507914,15.265086,25,25,12.331862,21.069726,29.112694,0.010458,0.828053
sh600000,????????,4/18/2017,????????,??????????????????????????????????????????????????????????????????,????,15.5,15.52,15.3,15.3,150.519593,15.3,-0.01671,22889980,351624622,0.001059,3.3076E+11,3.3076E+11,0,0,6.229134,1.984486,-1.72274,0.978486,15.602,15.823,15.8865,16.024667,16.340667,,-0.197293,-0.149173,-0.096241,,18.264853,30.283829,-5.773099,,15.9315,16.507877,15.355123,25,27.777778,15.976393,24.379737,31.576029,0.014139,0.787013
sh600000,????????,4/17/2017,????????,??????????????????????????????????????????????????????????????????,????,15.53,15.6,15.3,15.56,153.077443,15.56,0.003224,36739448,566536789,0.001699,3.3638E+11,3.3638E+11,0,0,6.334989,2.018209,-1.752015,0.995114,15.72,15.894,15.9315,16.059667,16.356833,,-0.166539,-0.137142,-0.058793,,27.397279,36.293317,9.605204,,15.968,16.527439,15.408561,25,30.555556,24.09773,30.363142,35.517106,0.019342,1.301483
