¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,ÐÂÀËÐÐÒµ,ÐÂÀË¸ÅÄî,ÐÂÀËµØÓò,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,ºó¸´È¨¼Û,Ç°¸´È¨¼Û,ÕÇµø·ù,³É½»Á¿,³É½»¶î,»»ÊÖÂÊ,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,ÊÇ·ñÕÇÍ£,ÊÇ·ñµøÍ£,ÊÐÓ¯ÂÊTTM,ÊÐÏúÂÊTTM,ÊÐÏÖÂÊTTM,ÊÐ¾»ÂÊ,MA_5,MA_10,MA_20,MA_30,MA_60,MA½ð²æËÀ²æ,MACD_DIF,MACD_DEA,MACD_MACD,MACD_½ð²æËÀ²æ,KDJ_K,KDJ_D,KDJ_J,KDJ_½ð²æËÀ²æ,²¼ÁÖÏßÖÐ¹ì,²¼ÁÖÏßÉÏ¹ì,²¼ÁÖÏßÏÂ¹ì,psy,psyma,rsi1,rsi2,rsi3,Õñ·ù,Á¿±È
sh600002,ÆëÂ³ÍËÊÐ,2006-04-06,,,,10.070000,10.110000,10.010000,10.090000,11.134573,,-0.003949,647750.000000,6524667.000000,0.001851,3531500000.000000,19675500000.000000,0.000000,0.000000,8.598206,1.094549,5.575119,2.625118,,,,,,,,,,,65.264357,62.123938,71.545195,,,,,41.666667,34.722222,,,,0.009872,0.193528
sh600002,ÆëÂ³ÍËÊÐ,2006-04-05,,,,10.110000,10.140000,10.090000,10.130000,11.178717,,0.001978,7853867.000000,79367810.000000,0.022440,3545500000.000000,19753500000.000000,0.000000,0.000000,8.632295,1.098889,5.597222,2.635526,,,,,,,,,,,67.127305,60.553728,80.274457,,,,,41.666667,30.555556,,,,0.004946,2.033930
sh600002,ÆëÂ³ÍËÊÐ,2006-04-04,,,,10.110000,10.120000,10.100000,10.110000,11.156650,,0.000000,4617379.000000,46681641.000000,0.013193,3538500000.000000,19714500000.000000,0.000000,0.000000,8.615254,1.096720,5.586173,2.630323,,,,,,,,,,,59.024290,57.266940,62.538990,,,,,33.333333,26.388889,,,,0.001978,1.501608
sh600002,ÆëÂ³ÍËÊÐ,2006-04-03,,,,10.110000,10.130000,10.110000,10.110000,11.156650,,0.000000,1979861.000000,20030568.000000,0.005657,3538500000.000000,19714500000.000000,0.000000,0.000000,8.615254,1.096720,5.586173,2.630323,,,,,,,,,,,58.536436,56.388265,62.832776,,,,,33.333333,25.000000,,,,0.001978,0.722973
sh600002,ÆëÂ³ÍËÊÐ,2006-03-31,,,,10.100000,10.120000,10.100000,10.110000,11.156650,,0.000990,1636419.000000,16533529.000000,0.004675,3538500000.000000,19714500000.000000,0.000000,0.000000,8.615254,1.096720,5.586173,2.630323,,,,,,,,,,,57.804653,55.314180,62.785599,½ð²æ,,,,33.333333,25.000000,,,,0.001980,0.552575
sh600002,ÆëÂ³ÍËÊÐ,2006-03-30,,,,10.090000,10.110000,10.080000,10.100000,11.145615,,0.000991,3219600.000000,32489567.000000,0.009199,3535000000.000000,19695000000.000000,0.000000,0.000000,8.606733,1.095635,5.580648,2.627722,,,,,,,,,,,49.206980,54.068944,39.483052,,,,,25.000000,25.000000,,,,0.002973,1.035685
sh600002,ÆëÂ³ÍËÊÐ,2006-03-29,,,,10.100000,10.110000,10.090000,10.090000,11.134581,,-0.000990,3921521.000000,39604658.000000,0.011204,3531500000.000000,19675500000.000000,0.000000,0.000000,8.598212,1.094550,5.575123,2.625120,,,,,,,,,,,48.810470,56.499926,33.431559,ËÀ²æ,,,,16.666667,26.388889,,,,0.001980,1.071684
sh600002,ÆëÂ³ÍËÊÐ,2006-03-28,,,,10.110000,10.120000,10.100000,10.100000,11.145615,,-0.000989,2935100.000000,29673140.000000,0.008386,3535000000.000000,19695000000.000000,0.000000,0.000000,8.606733,1.095635,5.580648,2.627722,,,,,,,,,,,60.715705,60.344654,61.457808,,,,,16.666667,30.555556,,,,0.001978,0.808828
sh600002,ÆëÂ³ÍËÊÐ,2006-03-27,,,,10.120000,10.120000,10.100000,10.110000,11.156649,,-0.000988,3094571.000000,31287113.000000,0.008842,3538500000.000000,19714500000.000000,0.000000,0.000000,8.615253,1.096719,5.586172,2.630323,,,,,,,,,,,66.073557,60.159128,77.902417,,,,,25.000000,34.722222,,,,0.001976,0.902357
sh600002,ÆëÂ³ÍËÊÐ,2006-03-24,,,,10.100000,10.120000,10.100000,10.120000,11.167683,,0.001980,2372539.000000,23985627.000000,0.006779,3542000000.000000,19734000000.000000,0.000000,0.000000,8.623774,1.097804,5.591697,2.632925,,,,,,,,,,,61.610336,57.201913,70.427183,½ð²æ,,,,33.333333,37.500000,,,,0.001980,0.652742
