股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600003,ST东北高,2009-03-13,,,,3.950000,4.030000,3.860000,3.870000,5.485031,,-0.020253,6293622.000000,24722060.000000,0.008249,2952655200.000000,4695084000.000000,0.000000,0.000000,220.262474,6.466142,65.359674,1.377780,,,,,,,,,,,76.877551,66.555672,97.521308,,,,,50.000000,56.944444,,,,0.043038,0.528888
sh600003,ST东北高,2009-03-12,,,,3.780000,3.980000,3.720000,3.950000,5.598416,,0.039474,9846442.000000,38059858.000000,0.012906,3013692000.000000,4792140000.000000,0.000000,0.000000,224.815666,6.599808,66.710767,1.406261,,,,,,,,,,,75.192869,61.394733,102.789143,,,,,50.000000,58.333333,,,,0.068421,0.663850
sh600003,ST东北高,2009-03-11,,,,3.860000,3.930000,3.790000,3.800000,5.385816,,-0.005236,8073100.000000,30976092.000000,0.010581,2899248000.000000,4610160000.000000,0.000000,0.000000,216.278296,6.349180,64.177428,1.352859,,,,,,,,,,,64.762988,54.495664,85.297636,,,,,50.000000,59.722222,,,,0.036649,0.526015
sh600003,ST东北高,2009-03-10,,,,3.730000,3.840000,3.630000,3.820000,5.414164,,0.000000,10966602.000000,41046547.000000,0.014374,2914507200.000000,4634424000.000000,0.000000,0.000000,217.416690,6.382599,64.515229,1.359980,,,,,,,,,,,58.477816,49.362002,76.709443,,,,,58.333333,61.111111,,,,0.054974,0.675524
sh600003,ST东北高,2009-03-09,,,,3.900000,3.970000,3.690000,3.820000,5.414164,,0.010582,24318904.000000,94061400.000000,0.031874,2914507200.000000,4634424000.000000,0.000000,0.000000,217.416690,6.382599,64.515229,1.359980,,,,,,,,,,,50.216724,44.804095,61.041980,,,,,66.666667,61.111111,,,,0.074074,1.446599
sh600003,ST东北高,2009-03-06,,,,3.500000,3.780000,3.500000,3.780000,5.357472,,0.050000,20956596.000000,78183660.000000,0.027467,2883988800.000000,4585896000.000000,0.000000,0.000000,215.140078,6.315766,63.839678,1.345739,,,,,,,,,,,43.067021,42.097781,45.005500,金叉,,,,66.666667,61.111111,,,,0.077778,1.504095
sh600003,ST东北高,2009-03-05,,,,3.580000,3.700000,3.490000,3.600000,5.102354,,0.016949,12423089.000000,44574355.000000,0.016283,2746656000.000000,4367520000.000000,0.000000,0.000000,204.895312,6.015015,60.799693,1.281656,,,,,,,,,,,35.126847,41.613161,22.154218,,,,,58.333333,61.111111,,,,0.059322,1.153543
sh600003,ST东北高,2009-03-04,,,,3.490000,3.580000,3.460000,3.540000,5.017316,,0.026087,12505892.000000,44100811.000000,0.016391,2700878400.000000,4294728000.000000,0.000000,0.000000,201.480421,5.914766,59.786374,1.260295,,,,,,,,,,,32.690271,44.856319,8.358175,,,,,58.333333,63.888889,,,,0.034783,1.175569
sh600003,ST东北高,2009-03-03,,,,3.220000,3.450000,3.220000,3.450000,4.889756,,0.017699,13850968.000000,45438976.000000,0.018154,2632212000.000000,4185540000.000000,0.000000,0.000000,196.358029,5.764390,58.266379,1.228254,,,,,,,,,,,32.193301,50.939343,-5.298783,,,,,58.333333,68.055556,,,,0.067847,1.240168
sh600003,ST东北高,2009-03-02,,,,3.550000,3.550000,3.390000,3.390000,4.804718,,-0.050420,9928595.000000,33925059.000000,0.013013,2586434400.000000,4112748000.000000,0.000000,0.000000,192.943128,5.664141,57.253057,1.206893,,,,,,,,,,,36.184688,60.312364,-12.070663,,,,,58.333333,72.222222,,,,0.044818,0.791896
